,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
C:52.3 Zr:24.8 Ge:22.8,1122.15,2.1,1.0,-0.8488710290881456,0.2957176328144544
S:50.9 Cu:19.5 Sc:13.9 F:7.7 Ni:3.9 Zr:3.6 Os:0.4 W:0.1,1023.0,1.9879519939422607,1.0130000114440918,-0.2218487496163564,0.29465425252856303
Re:72.6 Li:27.4,1145.4287137956142,4.26315825145448,3.3324806103269506,-0.6020599913279624,0.294652141599401
Si:44.2 Sc:21.4 Pd:20.8 Ge:9.2 Os:4.4,773.15,2.0,1.0,-3.82641761708486,0.2945682958070257
C:44.0 Ge:32.0 Mo:24.0,1178.15,2.0,1.0,-1.8097369873085294,0.2927420559511502
C:52.1 Ge:20.9 Mo:16.4 Y:4.8 Co:4.2 Sc:1.2 W:0.3 Os:0.1,1019.0,2.0,1.0,-1.3429972607289604,0.28978303016649964
B:37.9 Ni:25.3 Ge:15.2 Ba:8.6 Tl:8.3 Co:4.8,1073.15,2.0,1.0,-0.8900793114551548,0.2870164277417293
C:51.1 Li:24.8 Mo:11.2 I:8.1 W:4.8,1073.0,0.9345847388116546,1.0130000114440918,-0.8538719643217619,0.2853456978509792
C:30.7 Ge:23.4 Ca:17.2 B:12.3 Mo:9.3 Mg:7.1,1036.2156739098155,3.0,4.489721342605395,-1.1426675035687315,0.28286469531898617
As:46.3 Pb:30.5 Sc:11.7 Tl:6.9 Ge:3.7 Sb:0.8 Os:0.1 W:0.1,1061.0,2.003002882003784,1.0130000114440918,0.7781512503836436,0.28271451721197693
Tl:47.7 Sc:26.2 Ge:10.0 S:8.8 B:7.0 W:0.3 Co:0.1 Os:0.0,1053.0,1.9950740337371824,1.0130000114440918,-0.619788758288394,0.27972898710865535
Sc:50.3 Ge:49.7,1048.15,3.0,2.9165250519144323,-0.744727494896694,0.27200913943150695
Ge:53.6 C:46.4,1123.0,4.0,5.0,-1.2593584142561465,0.2715849966557662
C:35.2 Ba:25.9 Ru:15.5 B:10.0 Cr:9.3 Sb:4.1,973.15,0.6095101973496848,1.0,-1.1426675035687315,0.27069074136878024
Si:34.4 C:32.9 Ge:32.7,1073.0,2.4970059394836426,1.0130000114440918,-0.9625735020593764,0.26046197006639904
Mo:27.4 In:25.5 Ca:17.7 V:16.2 Ge:9.4 Co:3.7,993.15,1.806922992942888,1.0,-0.9738386801968689,0.2578493066999532
F:46.1 Sc:18.9 Ge:16.6 C:9.8 As:8.6,973.0,2.0303030014038086,1.0130000114440918,-0.7958800173440752,0.25517730858339616
Os:36.8 Nb:21.5 Al:17.4 Sc:16.8 Co:4.6 Ge:2.9,1069.0,1.9134025371221846,1.0,-0.7832301072634923,0.2551556728059068
Ca:44.1 Ir:39.1 Ge:16.9,1073.15,3.0,1.0,-1.558308483464886,0.2529215809551013
C:47.2 Na:23.1 Tm:11.6 Ge:9.5 As:8.6,1073.15,1.8832331719778044,1.0,-2.523055922930107,0.2524746936006782
W:44.3 Tl:28.2 Sc:12.6 As:10.3 Ge:4.2 Os:0.2 Re:0.1 Co:0.1,973.0,1.95488703250885,1.0130000114440918,-0.09691001300805639,0.25083507876579114
Mo:75.0 Sc:25.0,1110.4039708855698,4.0,1.856830459995436,0.17609125905568124,0.24918937984488687
Si:36.3 Pd:19.8 Ru:18.7 Sc:15.0 Ge:10.2,1003.0956923455669,3.0,1.0,-0.44369749923271273,0.24625823616632103
C:43.7 Sc:22.5 Ge:17.1 Si:15.9 W:0.8,1073.15,2.0,1.0,-0.3731164249470055,0.2435779184537814
Si:98.2 Rb:1.2 W:0.6,1123.0,4.5,1.0130000114440918,0.25527250510330607,0.24333203483672983
W:50.6 Mo:23.5 Ru:8.8 Cl:8.3 Co:6.5 In:2.3,1073.15,2.0,1.0,-0.8170693164140133,0.24158769504427513
Te:49.2 B:16.5 Si:9.2 Na:8.8 Co:7.8 C:7.8 Os:0.4 W:0.2,1053.0,1.9950740337371824,1.0130000114440918,-0.619788758288394,0.2388932835954437
Os:61.3 Sc:16.1 Ge:14.4 Ni:3.3 Mo:2.5 Al:2.1 W:0.3 Au:0.0,983.0,2.3186667768419493,1.0130000114440918,-0.3467874862246563,0.2379742073819967
Ir:33.2 As:30.6 Ge:24.9 Mg:4.7 Ni:3.9 Cu:2.1 Os:0.5 W:0.2,1073.15,2.0,1.0,-0.7897243043237442,0.2349007242383836
Ti:40.0 Ge:19.9 Tm:15.7 Al:15.2 Mo:9.1,1023.0,2.6848301159459242,1.0130000114440918,-0.3187587626244128,0.23417664505280011
Sc:52.1 Tl:18.2 Pb:14.1 Pd:6.7 Co:5.7 Ge:2.8 Os:0.3 W:0.1,1053.0,2.5,1.0,-0.4352310174766999,0.230994044564253
Os:55.4 Sc:18.2 Si:12.4 As:10.1 Ge:3.4 Co:0.3 W:0.1 Re:0.1,1023.15,2.8475872514776843,1.0,-1.3010299956639813,0.2307181507815098
As:43.4 Pb:28.4 Ge:13.5 I:7.2 In:5.2 C:1.9 W:0.3,973.0,1.9850749969482424,1.0130000114440918,-0.09691001300805639,0.2290118381981674
C:59.7 Ge:16.8 Mo:14.9 Sc:3.4 Cr:2.9 Co:2.0 Os:0.1 W:0.0,1007.5824978648955,2.1,0.7456181500684349,-0.03784847014595183,0.22724587293697118
Sr:40.8 Bi:25.2 Sc:15.9 Ge:9.4 B:4.9 Co:3.4 W:0.2 Os:0.1,973.0,1.95488703250885,1.0130000114440918,-0.09691001300805639,0.2268892245412104
C:48.4 Ge:23.1 As:14.4 Nb:8.9 Sc:5.2,1103.15,0.9355310632871714,1.8042507596157866,-0.8469041123116552,0.22617673880328892
Dy:51.5 Sc:48.5,1199.8733762430488,4.623107004219175,1.5162042349173581,-0.744727494896694,0.2249606271747847
W:30.1 Tl:22.1 Pm:22.0 Ge:12.6 Rh:8.5 Co:4.6,993.0,2.5,1.0,-0.44855946954363474,0.2246157963614559
Br:46.5 Y:18.3 Cu:14.1 Sc:11.9 Ge:9.3,1073.15,2.0,1.0,-0.5890493157911735,0.22346872148999342
C:44.6 Sc:24.8 As:16.1 Ge:11.2 Co:2.4 Pt:0.6 W:0.2 Os:0.1,1053.15,2.487277543517936,1.0,-1.3684354976689614,0.22335276396854842
Cl:34.4 Co:24.1 Ge:18.8 Sc:16.1 As:5.5 Eu:1.0 Os:0.1 W:0.0,993.0,2.0,1.0130000114440918,0.38021124171160603,0.2211899260672554
Sc:32.8 Ge:26.0 Cl:25.5 Nb:8.9 As:5.5 Co:0.9 Os:0.2 W:0.1,1023.15,1.8421052631578947,1.0,-0.41149078463649796,0.2200631346780576
Ta:53.4 Sc:15.3 As:13.1 Mo:10.9 Ge:7.3,995.3411568662175,3.0,1.9,-0.7458786530520038,0.21849362333727929
As:47.7 Ge:22.9 Sc:16.7 Si:8.2 Co:3.3 Ca:0.8 W:0.3 Os:0.1,1023.0,3.0,1.0,-3.7919009872159535,0.2184580946032889
As:71.2 Ca:12.6 Ge:7.1 Si:5.0 Sc:4.1,1073.15,2.0,1.0,-2.1760912590556813,0.21773424986042378
F:58.4 V:27.6 Ge:13.9,1023.0,2.477612018585205,1.0130000114440918,-1.0694017367533517,0.21721094556341625
C:40.3 Ge:23.4 Si:20.4 Sc:13.4 Gd:2.6,1073.0,2.4970059394836426,1.0130000114440918,-0.9625735020593764,0.21628694473178844
C:41.0 Si:25.5 Ge:14.3 Y:10.3 Mo:9.0,1048.15,3.0,1.0,-1.2381515855136143,0.2148318991332001
Nb:46.0 Ge:24.2 W:12.8 Si:12.2 Mo:4.8,1073.0,2.4181783307465405,1.0,-3.4111934335816603,0.2142433214671462
Sc:47.8 Ru:18.1 As:15.1 B:11.7 Ni:4.7 Mo:2.6,973.0,2.0,1.0130000114440918,0.17609125905568124,0.213588528776123
Ba:41.8 Bi:30.1 Ge:28.2,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.21331096779826975
Cl:51.3 Ba:29.8 As:19.0,1023.0,2.477612018585205,1.0130000114440918,-0.2218487496163564,0.21274688920901652
Ru:67.2 Ge:21.7 Tl:11.1,1073.0,0.18733333333333327,0.1562,-1.5900668766687054,0.2117130959101211
C:49.3 Li:21.0 Mo:16.8 Si:6.5 Sc:6.4,1175.0,1.8,1.0,-1.344262659770127,0.21137161179750108
As:65.3 Ge:11.9 Sc:10.8 Br:9.5 Mo:2.5,998.0,2.0,1.0,-0.744727494896694,0.2098372624420386
Si:85.3 Mn:5.8 Na:4.4 La:2.3 W:2.2,1073.597,1.3836138657730481,1.8038633162720292,-0.3793955346102758,0.20980944644636368
Mo:61.9 Rb:18.9 I:11.4 B:3.3 Nb:3.0 Tl:1.2 W:0.2 Os:0.2,973.0,2.0,1.0130000114440918,0.38021124171160603,0.20884023384328865
Si:30.1 Ho:26.7 Ge:20.9 B:13.5 Al:8.8,1023.0,4.0,1.0130000114440918,-0.619788758288394,0.2072351805651813
Os:45.8 Mg:18.7 Ge:16.0 C:10.7 As:8.8,948.0,1.791617628867546,1.0,-0.09691001300805639,0.1995307010929286
Ge:36.9 Sc:33.0 V:12.9 C:9.9 Re:7.3,973.0,2.3809518814086914,1.0130000114440918,-0.2218487496163564,0.1990372432704558
C:67.8 Al:14.4 Ge:7.8 Tl:4.6 Ni:2.7 N:2.5 W:0.2 Os:0.1,973.15,1.0044661914960802,1.5201884971367519,-1.1426675035687315,0.19648002632215644
Ca:36.2 Lu:35.9 Cr:12.8 C:8.8 Te:3.6 As:2.5 W:0.3 Os:0.0,973.15,2.0,1.0,-1.971136622947105,0.1899663125461677
Tl:33.5 Ge:22.8 Sc:21.9 In:10.9 As:8.5 Co:2.0 W:0.2 Os:0.1,1023.0,2.477612018585205,1.913217673001272,-0.2218487496163564,0.18904087005530656
Er:29.3 K:28.8 As:28.1 Sc:7.5 Ge:5.4 Co:0.7 W:0.1 Os:0.0,953.0,2.0,1.0130000114440918,-0.9208187539523752,0.18882562718007512
As:36.5 Si:25.2 Sc:15.7 Ge:14.8 B:7.8,1073.0,2.0,1.0130000114440918,-2.7525165649992056,0.18875984630531617
W:48.1 V:18.5 Pm:15.1 Tl:12.8 Ge:3.9 Co:1.3 Re:0.2 Os:0.2,1073.15,2.0,1.0,-0.7458840720966361,0.18785201325579226
Ge:47.4 C:31.7 Mo:7.6 B:6.0 Co:4.8 Be:2.5,1053.15,2.6296191817500936,1.0,-0.8213726027052919,0.18709444365432826
As:37.8 F:26.1 Sc:19.0 Ge:15.1 Cu:2.0,1073.0,2.0303030014038086,1.0130000114440918,0.47712125471966244,0.18655317745246536
Si:49.9 Eu:17.2 Fe:13.9 As:10.9 Ge:8.1,1023.0,4.5,1.0130000114440918,0.25527250510330607,0.18593786872134133
Ir:43.6 Mo:18.6 Si:15.8 Ge:15.0 Ni:3.2 I:3.1 W:0.6 Os:0.2,1078.6059360069808,1.9619515646766004,1.0,-1.408935392973501,0.18548438009400958
Ni:44.8 Tl:18.8 Ge:15.0 Co:10.6 Sc:5.5 Eu:4.9 Os:0.2 W:0.2,1038.3167077451126,2.5,1.0,-0.4611982886224933,0.1834409737987439
C:65.5 Mo:15.7 Cs:9.6 S:6.5 Cu:2.4 Re:0.2 Co:0.0,973.0,2.003002882003784,1.0130000114440918,-0.6575773191777937,0.1831057320872974
C:40.2 Sc:21.2 Ge:15.3 Si:15.2 Mo:8.1,1133.15,1.8,1.0,-1.620027704947362,0.18107324973005634
Zr:89.0 S:6.0 Li:5.0,1073.0,3.0,1.0130000114440918,-0.2218487496163564,0.17975934484679357
C:44.5 Sc:19.6 Ge:13.7 As:11.1 Mo:11.1,1143.15,2.0,1.9762499033046819,-1.6278530424593185,0.17873442787379357
W:43.2 Sc:23.8 Ge:21.0 B:6.4 As:5.6,1023.0,5.020634664224438,1.0130000114440918,-0.744727494896694,0.17872647026318622
As:64.3 Cr:12.3 Ge:9.6 Si:8.7 Mo:5.2,1073.0,2.0,1.0,-0.744727494896694,0.17539979369655678
Si:51.0 As:24.4 C:10.6 I:7.3 Co:5.8 Ge:0.6 Os:0.1 W:0.1,923.0,2.0303030014038086,1.0130000114440918,-0.7958800173440752,0.17433214008556708
Ge:48.0 Cu:19.1 V:14.0 Si:10.5 I:8.4,523.15,2.0,1.0,-1.4481841776489843,0.17365016799544863
Cs:56.3 Ge:43.7,1073.0,3.0,1.0130000114440918,0.3222192947339193,0.17258209571945204
As:49.4 Si:20.3 Ge:18.2 Sc:7.7 Co:2.4 Ca:1.7 W:0.1 Os:0.0,1073.15,2.0,0.5818012483189295,-2.3521825181113623,0.17052517503658537
Os:33.7 As:22.4 Sc:18.1 Ge:16.9 B:7.9 Co:0.5 W:0.3 Pm:0.1,1073.0,1.9285709857940676,1.0130000114440918,0.38021124171160603,0.16997371343760115
Ge:43.0 Sc:25.2 In:18.9 C:6.8 As:6.1,973.15,4.0,6.0393799597706215,-1.5829935748812012,0.1672298143744907
Re:77.9 Si:22.1,1033.0,2.549999952316284,1.0130000114440918,-0.18708664335714442,0.1648261341658248
C:33.7 Sc:23.7 Ge:20.0 Ca:15.5 Nb:7.2,1073.15,3.0,4.52409343269629,-0.8179423568643043,0.1644662543833021
Ge:52.5 Tl:19.0 N:17.4 Sc:6.5 Co:2.2 As:2.1 Os:0.2 W:0.1,1013.0,1.3167764439866374,1.8640751168772136,-0.4089353929735008,0.16346124736185486
C:54.4 Mo:14.8 Si:13.3 Ge:8.9 Sc:5.5 Co:3.0,1023.0,4.0,2.0208358039896455,-1.7400687500769836,0.16257726292558528
C:61.8 Sc:18.5 Ge:9.5 B:6.7 Cr:3.5,1043.15,4.0,1.2,-0.8735438865681957,0.1609430567353013
Re:45.0 Lu:20.7 Ho:15.5 Bi:8.5 Ge:8.0 Co:1.9 W:0.2 Os:0.2,1073.15,2.0,1.0,-0.5417640894407113,0.16019171274291522
C:60.1 Sc:16.4 As:12.1 Ge:6.3 Pm:5.1,1043.15,4.0,1.2,-0.8735438865681957,0.1590627596195513
Si:31.3 Ir:28.6 Ge:21.9 C:10.0 Pm:5.9 Os:2.1 W:0.2 Re:0.0,523.15,1.062388415736248,1.0,-1.4426131179404929,0.1580228152921762
Si:40.0 Ge:28.3 B:14.1 Os:9.3 Cu:4.2 Ni:4.0 Ta:0.0 W:0.0,923.15,1.3140751536076443,1.0,-0.9000605164383256,0.15780284812193912
Re:82.0 Y:18.0,1023.0,3.0,1.0130000114440918,-0.18708664335714442,0.15771595498196667
Ir:43.0 Sc:34.0 Be:7.1 Ge:7.1 I:6.2 Co:2.4 Os:0.1 W:0.1,948.15,1.572774879251882,1.0,-1.508657631840179,0.15702855772914148
As:42.9 Sc:19.4 Au:15.7 Ge:14.8 C:7.2,912.4109073570286,0.6698934450534325,1.2321139508903995,0.4241570076805914,0.154798986015937
C:54.5 Ge:17.4 Sc:14.9 I:7.0 Mo:3.6 Ni:2.3 Os:0.2 W:0.1,1023.0,3.0,1.0130000114440918,-0.12493873660829995,0.15454632510267585
Si:42.7 Au:27.5 Ge:14.1 As:8.7 Sc:7.0,1023.0,7.0,1.0130000114440918,0.027750285376992423,0.15325301786408407
Os:43.6 Ge:21.7 B:20.8 Sc:7.0 Si:6.5 Co:0.3 Re:0.1 W:0.0,973.0,2.0,1.0,-0.09691001300805639,0.15299120368326258
C:50.8 Ge:17.8 Mo:16.6 Al:11.3 B:3.6,1178.15,2.0,1.0,-1.6120587752760867,0.15288646036432585
Re:63.2 Ge:11.9 Tl:11.4 As:8.2 Er:5.3,873.15,2.0,1.0,-1.4516105818670817,0.15161709491946085
C:38.8 Ge:28.8 Mo:15.1 Si:8.7 Sc:7.0 Co:1.2 W:0.2 Os:0.1,1078.0,2.0,0.9628106876453649,-1.3429972607289604,0.1509417137300283
W:55.3 Ge:23.0 Si:21.7,1073.15,2.783542172659456,1.0,-1.3010299956639813,0.14988422361971288
Os:52.7 Ge:28.3 V:7.6 Ca:7.5 As:3.9,1023.0,6.0,1.0130000114440918,-0.744727494896694,0.1498125949132434
Au:41.2 Si:18.9 Ge:13.5 Sc:13.3 Co:6.7 Ca:5.9 Os:0.3 W:0.1,1023.15,3.0,1.0,-1.4156409798961542,0.14837941893174444
C:50.1 Ge:20.3 Sc:17.0 In:10.6 As:2.0,1053.15,2.0,1.0,-0.26324143477458145,0.14799145836661853
C:63.9 Ge:23.9 Ru:7.5 Tl:2.1 Re:1.3 Cd:1.3,973.15,2.112720897012366,1.0,-1.4218836891615778,0.14715539515635756
Mo:68.5 Sc:16.7 Ge:7.5 C:3.8 Ir:3.5,1023.0,4.0,4.613070407567183,-0.3187587626244128,0.14665028916615386
Ca:56.9 F:12.2 Cu:11.9 Ge:10.1 Sc:8.8,1023.0,4.0,1.0130000114440918,-0.3187587626244128,0.14647860571701787
Re:64.2 Ti:14.3 Tl:12.6 Cd:6.4 Ge:2.5,1098.0,0.484,0.2452,-1.5900668766687054,0.1458879699308523
Ge:39.4 Au:33.0 As:10.3 Sc:10.3 Si:4.6 Co:2.3 W:0.1 Os:0.0,1053.0,1.9950740337371824,1.0130000114440918,-0.619788758288394,0.14583410449694256
Be:57.6 Ca:16.7 Ge:10.4 Sc:6.3 Co:4.6 Pt:4.4,873.15,1.362151325428427,2.143816215529795,0.16891267442855792,0.14493623029423686
Er:37.3 Sc:23.2 Ge:19.8 Si:14.7 Co:4.5 As:0.4 Os:0.1 W:0.0,873.0,2.003002882003784,1.0130000114440918,-0.6989700043360187,0.14342586024516935
Cr:56.3 Mn:25.9 In:8.3 Ni:4.7 Pm:3.1 B:1.6,1023.0,4.0,1.0130000114440918,-0.8030927651761335,0.14260075247719517
W:40.9 Ge:35.3 Pb:19.0 Sc:2.0 Co:1.7 As:1.0 Re:0.1 Os:0.0,1073.15,1.0,1.0,-0.26324143477458145,0.14236281512771942
Cl:37.1 As:20.5 In:19.7 Cr:18.0 Ge:3.9 Co:0.8 W:0.2 Os:0.0,1073.15,2.0,1.0,-0.7970365945440173,0.1381654641361003
Mo:37.2 V:26.8 Br:21.2 Ir:10.4 Ge:2.4 Co:1.9 Os:0.1 W:0.1,1023.0,2.021212100982666,1.0130000114440918,-1.080921907623926,0.13738508437916575
C:65.5 Cs:17.1 Ge:10.0 Sr:5.2 Ir:1.3 W:0.5 Co:0.2 Os:0.1,973.15,1.6225856814882833,1.0,-1.1426675035687315,0.13726904931937767
C:34.0 Mo:20.9 Ge:17.1 Si:15.8 Mg:10.4 Co:1.2 Os:0.3 W:0.3,1048.0,1.5190792406433478,1.0,-3.576754126063192,0.13627651457710044
C:64.8 Nb:20.0 As:7.7 Mo:4.7 Pm:2.9,1050.0,3.3842886165643136,1.0130000114440918,-0.6575773191777937,0.13565406491335286
Ru:92.1 Ge:7.9,923.0,2.174999952316284,0.7167747650779367,0.6720978579357175,0.1350827952259115
C:62.3 Ge:24.0 Cr:6.2 S:2.6 Co:2.5 Sc:2.2 W:0.2 Os:0.0,1020.2810698982122,2.5,1.0,-0.45442136462448585,0.13338430219286057
Cu:41.0 Si:24.0 Ge:23.6 Zr:4.5 Cr:3.5 P:3.4,945.1327351846642,3.0,1.74602396043436,-1.3107522972213632,0.1322173821386572
As:65.1 Ge:24.1 Co:4.1 C:2.9 Sc:2.0 Ca:1.7 W:0.0 Os:0.0,973.0,2.0303030014038086,1.0130000114440918,-0.7958800173440752,0.1321316872001418
Ru:30.6 Ge:25.1 Sc:20.5 B:9.7 Y:8.1 Er:5.3 W:0.3 Os:0.3,903.0,2.5,1.0130000114440918,0.43136376415898736,0.1290185365708384
Au:32.3 Si:28.1 Sc:27.2 K:8.0 Ge:4.4,912.3721114239969,0.7129495860728771,1.0130000114440918,0.146128035678238,0.12820083040590236
Ge:31.9 Br:25.6 Sc:23.8 As:8.0 C:6.0 Co:4.8 W:0.0 Os:0.0,673.15,2.0,1.0,-1.4481841776489843,0.12678684295825338
W:57.9 Ce:24.3 Ge:8.5 As:5.6 Sc:3.8,973.0,4.0,2.7286222400762794,-1.3979400086720375,0.126662989302475
C:58.8 Sc:26.8 Si:4.9 As:3.6 Ge:3.6 Co:2.2 W:0.1 Os:0.0,993.15,2.3149978379594596,1.0,-0.7700341804962604,0.12467407478370474
Ge:33.4 Mg:30.9 C:20.1 B:7.6 Sc:7.4 Co:0.5 Os:0.1 W:0.1,973.15,3.0,1.0,-1.1426675035687315,0.12435642077066489
C:59.9 Sc:19.4 Ge:13.5 Mo:4.7 Co:1.8 As:0.6 W:0.2 Os:0.0,992.4243784849584,3.0,1.1657066921350683,-0.045757490560675115,0.12435070625825784
C:29.5 Sc:29.4 Ge:26.2 Si:7.7 Mo:7.3,1013.15,5.0,1.0,-0.36691550922782384,0.12404873454517495
C:39.4 Sc:33.7 Si:11.7 Ge:8.8 B:6.4,1073.15,2.5,1.0,-0.5708022975975203,0.12341626665548733
Rh:40.2 Mo:39.6 Co:5.9 Ge:5.4 In:5.2 Sc:3.3 W:0.3 Os:0.1,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.1231300995580511
W:32.4 Mo:24.0 Sc:18.9 Ge:13.8 V:11.0,1023.0,5.0,1.0130000114440918,-0.744727494896694,0.11967530864478426
C:53.0 Si:25.4 Ge:21.6,1041.0,2.003002882003784,1.0130000114440918,0.6812632534878196,0.11883347528542043
C:44.0 Ge:26.6 Mo:12.0 Er:7.7 V:6.5 Be:2.6 W:0.4 Os:0.1,1048.15,3.0,1.0,-0.44369749923271273,0.11761808292487363
Ge:38.1 Pt:26.7 Si:16.3 Sc:10.5 Ba:8.3,773.15,3.0,1.0,-2.70393803898331,0.11621718979029383
Re:30.2 Ge:29.6 Si:29.4 C:7.0 Mo:3.8,523.15,2.0,1.0,-1.4463596637686458,0.11540398861193135
Os:32.4 Ge:32.0 C:19.0 Sc:10.1 Co:5.5 As:1.0,1023.0,4.5,1.0130000114440918,0.25527250510330607,0.11413307466444478
Ir:54.7 Ca:13.7 Ge:12.7 C:6.5 Co:6.4 Si:6.1,846.0,2.4965031147003174,1.0130000114440918,-2.007075806778539,0.11165647986256388
Ir:43.3 Ge:29.3 Y:10.6 Si:10.5 Pm:4.7 B:1.7,1023.15,4.0,1.0,-1.508657631840179,0.11098112506213109
Si:42.3 C:29.4 Ge:28.3,1073.0,3.0714290142059326,1.0130000114440918,-0.8239087409443188,0.11062989521069622
C:56.1 Rb:17.3 Mo:11.3 Ge:7.4 Sc:6.5 Co:1.5,973.15,3.0,1.0,-1.637720216025171,0.1090631290984252
Ge:36.3 Re:33.3 Al:12.0 Si:10.1 Sc:8.3,1073.15,3.0,1.0,-1.7183618407888308,0.10794859997666773
Ir:41.1 Ge:22.5 Ca:22.2 Os:6.5 Sc:6.3 Au:1.3 W:0.1 Re:0.0,1088.0,2.6153850555419917,1.0130000114440918,-0.3010299956639812,0.10675973215520795
Si:29.2 Re:23.4 Sc:16.5 B:14.7 Ge:9.9 Co:5.3 W:0.5 Os:0.5,1023.15,4.0,1.0,-3.4807231604482967,0.1067559421338854
Mo:80.0 As:6.2 Sc:5.3 Ge:4.8 Cu:3.6,1073.15,4.0,4.5144059137267,-1.6971479412526898,0.10635111916778739
Os:33.5 Ge:22.3 B:21.2 As:15.3 Sc:6.4 Co:0.7 W:0.4 Re:0.2,1073.15,2.0,1.0,-2.0122344564170116,0.10479124339437873
Sc:41.4 F:29.4 Ge:14.0 Si:10.6 As:2.3 Co:1.9 W:0.4 Os:0.1,1023.0,4.0,1.0,-2.055369298143722,0.10365516801294938
Re:57.0 Sc:16.3 C:14.0 Ge:6.7 As:6.0,773.15,1.7764903815764008,1.0,-1.974366488939302,0.10354010212916809
Nd:44.0 Ca:22.6 B:19.6 Ir:6.1 Re:4.3 Os:2.5 W:0.6 Ru:0.4,973.15,1.5646855841735017,1.8054856008454299,0.17609125905568124,0.10313657140673205
Ce:35.7 Y:21.5 Cu:20.4 Ge:15.0 Sc:7.4,1123.0,0.4193333333333333,0.6790674569338743,-1.5900668766687054,0.10232252401102127
C:33.2 Si:28.8 Al:20.9 Ge:10.8 Sc:6.3,1071.8112928291787,3.0,1.030903853810114,-0.44369749923271273,0.1010728683494907
Ti:34.2 Sr:27.1 Ge:23.6 C:6.9 In:6.5 Co:1.0 W:0.4 Os:0.3,973.0,3.3496432851469757,1.0130000114440918,-0.2218487496163564,0.1001022751346421
Os:46.3 Sc:33.5 Si:7.7 Ge:6.7 As:5.8,973.0,4.774566173553467,1.0130000114440918,-1.3010299956639813,0.09923523139171042
Os:45.0 Ge:23.2 V:13.6 Mo:9.5 As:8.7,673.15,1.8335528521714437,1.0,-1.4112912480160018,0.09846332273783609
Si:34.8 Ge:19.5 C:19.0 Sc:16.4 I:10.3,748.15,4.0,1.0,-3.936605115767157,0.0982397992834918
C:52.8 Ca:23.3 Rb:14.6 Ge:8.2 Hf:1.1,1073.15,3.0,1.5787583430915888,-1.2524950586229409,0.09445322790866839
Os:47.2 Si:24.1 Ge:16.4 Sc:9.0 Co:3.0 As:0.4,993.0,2.0,1.0130000114440918,0.414973347970818,0.09231408942262215
Ta:37.6 Sb:22.1 Ge:20.6 S:8.4 B:7.3 Co:3.8 W:0.1 Os:0.1,1023.0,2.609375,1.0130000114440918,-0.2218487496163564,0.09202047391898482
Os:30.8 Sc:29.2 Ge:21.2 Pb:17.0 W:1.8,973.15,4.0,1.0,-1.5116327341669347,0.09164772349799388
Ge:40.1 Sc:34.5 C:25.4,1182.15,3.0,0.8015508812756322,-0.8330767619049136,0.0914640811665518
C:31.8 Ge:28.8 Si:19.7 Sc:18.7 Ta:0.9,1170.15,2.1,1.0,-0.8469041123116552,0.09069646477254084
Mo:57.8 C:42.2,1123.0,5.6666669845581055,2.5676258848941798,0.505149978319906,0.0906493847465441
La:100.0,823.15,3.0,1.0,-2.8848929796671463,0.08999832357431725
Os:63.3 Si:16.1 Ge:11.1 Sc:4.0 As:3.3 Co:2.1 W:0.1 Re:0.0,973.15,3.0,1.0,-1.490125714995281,0.08895799282362715
C:64.5 Ge:12.3 Mo:7.1 Ru:5.8 V:5.3 Bi:4.5 W:0.5 Os:0.1,1023.0,4.0,2.018612089893143,-3.880830196162595,0.08864180764853313
C:48.6 Ge:18.6 Sc:18.6 B:7.2 Mo:6.9,993.15,5.0,2.9185275964567965,-0.7700341804962604,0.0882082914396693
C:45.5 Ge:20.1 Ni:15.5 As:9.9 Sc:5.2 Co:3.5 Os:0.2 W:0.1,973.15,3.0,1.0,-1.1426675035687315,0.08617974413171614
Ce:35.4 Mg:33.3 Re:31.3,1013.0,2.5,1.0,-0.018114635028377755,0.08583581243316818
Ge:34.7 C:22.8 Sc:21.6 As:12.0 Ca:8.9,1073.15,3.0,1.0,-1.377575618011964,0.08539750280201541
C:56.7 Ge:23.6 V:14.6 Sc:2.6 As:2.5,1053.0,4.545454978942871,1.0130000114440918,-0.4814860601221125,0.08532470380740076
Pt:27.8 Rh:27.1 Sc:18.0 Co:9.2 As:8.8 Ge:8.4 W:0.4 Os:0.3,973.0,1.95488703250885,1.0130000114440918,-0.09691001300805639,0.08364968049422056
Ir:36.6 Si:28.7 Ge:20.3 S:9.0 Tl:3.0 V:1.9 W:0.4 Re:0.1,773.15,2.6,1.0,-3.7485747052171305,0.0834028560667725
Os:52.3 Ge:17.5 C:12.1 As:10.1 Sc:6.9 Co:0.7 W:0.4 Re:0.0,973.0,2.0,1.0130000114440918,0.38021124171160603,0.08240030202125387
C:58.0 Ge:15.8 Mo:11.8 Sc:8.0 Co:4.3 Cu:2.0 W:0.1 Os:0.0,1153.15,1.9,1.0,-1.7301909745026562,0.07877419236224814
Si:31.9 Ge:22.6 C:15.2 F:13.9 B:11.0 Co:4.4 Os:0.5 W:0.3,978.0,2.5,1.0130000114440918,-2.0,0.07832973101703694
