,Nr of publication,Element 1,C 1,Element 2,C 2,Element 3,C 3,Element 4,C 4,Element 5,C 5,Element 6,C 6,Element 7,C 7,Element 8,C 8,Potential Yield
70,7.0,Mg,90.0,La,10.0,,,,,,,,,,,,,12.475739047505787
71,7.0,Mg,90.0,Ba,10.0,,,,,,,,,,,,,11.586881149721846
72,7.0,Sr,0.44999998807907104,La,99.5,,,,,,,,,,,,,11.406319279093214
73,7.0,Sr,0.75,La,99.1999969482422,,,,,,,,,,,,,11.553582441272656
74,7.0,Sr,1.5,La,98.5,,,,,,,,,,,,,11.884329792693137
75,7.0,Sr,3.0,La,97.0,,,,,,,,,,,,,12.262916322129895
76,7.0,Sr,15.0,La,85.0,,,,,,,,,,,,,13.766458747721476
77,7.0,La,67.0,Ce,1.0,Re,32.0,,,,,,,,,,,11.673265968625506
78,7.0,La,60.0,Ce,10.0,Re,30.0,,,,,,,,,,,11.865917880079744
79,7.0,La,40.0,Ce,40.0,Re,20.0,,,,,,,,,,,10.95449887726002
80,7.0,Si,90.0,Pb,10.0,,,,,,,,,,,,,7.016476690681711
81,7.0,Ca,100.0,,,,,,,,,,,,,,,8.375955194112828
82,7.0,Sr,100.0,,,,,,,,,,,,,,,10.075025170615902
83,7.0,Sc,100.0,,,,,,,,,,,,,,,9.073120663665334
84,7.0,Y,100.0,,,,,,,,,,,,,,,9.608759401207426
85,7.0,La,100.0,,,,,,,,,,,,,,,11.426801154128384
86,7.0,Pr,100.0,,,,,,,,,,,,,,,8.204730342678339
87,7.0,Nd,100.0,,,,,,,,,,,,,,,9.275426800224064
88,7.0,Sm,100.0,,,,,,,,,,,,,,,9.724557332182727
89,7.0,Eu,100.0,,,,,,,,,,,,,,,9.551170049659422
90,7.0,Gd,100.0,,,,,,,,,,,,,,,9.435699448098834
91,7.0,Ce,100.0,,,,,,,,,,,,,,,7.151772624429286
92,8.0,Si,94.4000015258789,Pb,5.599999904632568,,,,,,,,,,,,,6.731096863180337
93,9.0,Na,14.899999618530273,Mg,85.0999984741211,,,,,,,,,,,,,12.307216160791151
94,10.0,Li,11.100000381469727,Sm,88.9000015258789,,,,,,,,,,,,,11.835002962810973
95,11.0,Li,12.5,Zn,87.5,,,,,,,,,,,,,13.328006425175737
96,13.0,Li,14.300000190734865,Ca,85.69999694824219,,,,,,,,,,,,,12.68630939673174
97,13.0,Na,50.0,Ca,50.0,,,,,,,,,,,,,11.367040962200031
98,14.0,Li,16.700000762939453,Ni,66.59999847412111,Br,16.700000762939453,,,,,,,,,,,12.457737698499747
99,14.0,Li,16.700000762939453,Cl,16.700000762939453,Ni,66.59999847412111,,,,,,,,,,,12.347589294037585
100,15.0,Al,50.0,La,50.0,,,,,,,,,,,,,9.71090161935518
101,16.0,Li,20.0,Sm,80.0,,,,,,,,,,,,,12.366468837775201
102,17.0,Li,2.0,Ba,98.0,,,,,,,,,,,,,11.443249202380429
103,17.0,Na,2.0,Ba,98.0,,,,,,,,,,,,,11.10460547932441
104,17.0,K,2.0,Ba,98.0,,,,,,,,,,,,,11.890613403308043
105,17.0,Rb,2.0,Ba,98.0,,,,,,,,,,,,,10.963303128173907
106,18.0,Al,90.0,Pb,10.0,,,,,,,,,,,,,7.451052012743162
107,19.0,Al,91.1999969482422,K,7.0999999046325675,Bi,1.7000000476837158,,,,,,,,,,,4.555030186387525
108,20.0,Li,2.400000095367432,C,1.2000000476837158,Ca,96.4000015258789,,,,,,,,,,,10.052151729884367
109,20.0,Li,11.600000381469727,C,5.800000190734862,Ca,82.5999984741211,,,,,,,,,,,11.577589159431172
110,20.0,C,3.5,Na,7.0,Ca,89.5,,,,,,,,,,,9.788192213418732
111,20.0,C,6.199999809265138,Na,12.399999618530273,Ca,81.4000015258789,,,,,,,,,,,9.718149142567045
112,20.0,C,3.7000000476837163,K,7.4000000953674325,Ca,88.9000015258789,,,,,,,,,,,9.14910820760091
113,20.0,C,7.0999999046325675,K,14.199999809265135,Ca,78.69999694824219,,,,,,,,,,,9.04693940769879
114,20.0,Li,2.799999952316284,Ca,97.1999969482422,,,,,,,,,,,,,10.270385235304195
