,Nr of publication,Element 1,C 1,Element 2,C 2,Element 3,C 3,Element 4,C 4,Element 5,C 5,Element 6,C 6,Element 7,C 7,Element 8,C 8,Potential Yield
292,65.0,Li,4.099999904632568,Ba,93.9000015258789,Ce,2.0,,,,,,,,,,,11.897706268943969
293,66.0,Li,18.100000381469727,Mg,81.5,Zn,0.4000000059604645,,,,,,,,,,,12.41739088997253
294,67.0,Li,20.0,Ti,80.0,,,,,,,,,,,,,14.157309367769626
295,67.0,Li,7.699999809265138,Co,92.3000030517578,,,,,,,,,,,,,12.56287982188684
296,67.0,Li,20.0,Ni,80.0,,,,,,,,,,,,,14.748381428948514
297,67.0,Li,20.0,Zn,80.0,,,,,,,,,,,,,15.518244101501331
298,73.0,Li,15.199999809265135,Mg,84.80000305175781,,,,,,,,,,,,,13.512497999036704
299,75.0,Li,4.0,Mg,94.0,Ce,2.0,,,,,,,,,,,12.887027649209474
300,75.0,Li,4.0,Ca,94.0,Ce,2.0,,,,,,,,,,,11.518752096496598
301,75.0,Li,4.0,Sr,94.0,Ce,2.0,,,,,,,,,,,11.22130821200044
302,75.0,Li,4.0,Ba,94.0,Ce,2.0,,,,,,,,,,,11.403880974610042
303,77.0,Li,29.399999618530273,Zn,70.5999984741211,,,,,,,,,,,,,13.200335272518629
304,77.0,Na,14.300000190734865,Mg,57.099998474121094,Mn,28.60000038146973,,,,,,,,,,,13.341894139566499
305,78.0,Na,6.699999809265138,La,93.3000030517578,,,,,,,,,,,,,14.557522261665186
306,78.0,K,4.0,La,96.0,,,,,,,,,,,,,13.264036921920365
307,78.0,Mg,6.300000190734862,La,93.6999969482422,,,,,,,,,,,,,12.298078997252793
308,78.0,Ba,1.2000000476837158,La,98.8000030517578,,,,,,,,,,,,,11.782941598548426
309,78.0,La,99.1999969482422,Bi,0.8000000119209291,,,,,,,,,,,,,11.67633721981113
310,79.0,C,33.299999237060554,La,66.69999694824219,,,,,,,,,,,,,11.024254127190611
311,81.0,Na,20.0,Cl,20.0,Mn,60.0,,,,,,,,,,,12.648087065374266
312,81.0,Na,19.5,Al,2.299999952316284,Cl,19.5,Mn,58.70000076293945,,,,,,,,,10.033205904942385
313,81.0,Na,19.5,Cl,19.5,Mn,58.70000076293945,Sn,2.299999952316284,,,,,,,,,12.958705721313972
314,81.0,Na,19.5,Cl,19.5,Ti,2.299999952316284,Mn,58.70000076293945,,,,,,,,,13.86773271826817
315,81.0,Na,19.5,Cl,19.5,Mn,58.70000076293945,W,2.299999952316284,,,,,,,,,13.589844933977918
316,81.0,Na,19.5,Cl,19.5,Mn,58.70000076293945,Ta,2.299999952316284,,,,,,,,,13.619246792408754
317,81.0,Na,19.899999618530273,Si,5.0,Cl,19.899999618530273,Mn,55.20000076293945,,,,,,,,,13.933756490976307
318,81.0,C,25.0,Na,10.0,Si,25.0,Cl,10.0,Mn,30.0,,,,,,,13.549479295088382
319,81.0,Na,10.0,Si,50.0,Cl,10.0,Mn,30.0,,,,,,,,,14.152133935996902
320,82.0,Li,50.0,Sm,50.0,,,,,,,,,,,,,11.787088425931707
321,82.0,Li,50.0,Nd,50.0,,,,,,,,,,,,,12.865109813848225
322,84.0,Li,3.0,Mg,97.0,,,,,,,,,,,,,11.158306642549517
323,86.0,Li,5.0,Si,88.80000305175781,Sb,6.199999809265138,,,,,,,,,,,6.246811822789962
324,87.0,Ti,50.0,La,50.0,,,,,,,,,,,,,9.356050185984188
325,88.0,Li,11.600000381469727,Si,82.9000015258789,Ti,5.5,,,,,,,,,,,9.20201258576016
326,89.0,Li,20.200000762939453,Mg,78.19999694824219,Sn,1.6000000238418581,,,,,,,,,,,13.634587522678347
327,90.0,Li,2.5999999046325684,Mg,96.4000015258789,Zn,1.0,,,,,,,,,,,11.374872447489755
328,91.0,Mg,3.0,Ca,97.0,,,,,,,,,,,,,14.982969932275822
329,91.0,Mg,1.6000000238418581,Ca,98.4000015258789,,,,,,,,,,,,,8.647308518094356
330,92.0,Mg,98.0999984741211,Ca,1.8999999761581419,,,,,,,,,,,,,13.296874177076765
331,93.0,Li,14.5,Cl,14.600000381469727,Co,70.9000015258789,,,,,,,,,,,12.899460961023824
332,94.0,Ca,95.1999969482422,La,4.800000190734863,,,,,,,,,,,,,11.63404702998686
333,95.0,Ba,100.0,,,,,,,,,,,,,,,9.414970109154552
334,95.0,Ba,86.4000015258789,La,13.600000381469727,,,,,,,,,,,,,13.123876746058318
335,96.0,Li,8.800000190734863,Mg,72.4000015258789,Ce,18.799999237060547,,,,,,,,,,,12.107962742064627
336,97.0,Li,50.0,Mg,50.0,,,,,,,,,,,,,12.911402170854554
337,99.0,Li,21.399999618530273,Ca,14.300000190734865,Bi,64.30000305175781,,,,,,,,,,,14.332342212182484
338,99.0,Li,20.0,Ca,20.0,Bi,60.0,,,,,,,,,,,14.476811555456644
339,99.0,Na,20.0,Ca,20.0,Bi,60.0,,,,,,,,,,,13.954736842921248
340,99.0,Li,16.700000762939453,Ca,33.299999237060554,Bi,50.0,,,,,,,,,,,15.059864475318484
341,100.0,Na,4.300000190734863,Zr,95.6999969482422,,,,,,,,,,,,,9.700359835219334
342,101.0,Na,5.0,Mn,50.0,La,45.0,,,,,,,,,,,10.514268573450687
343,102.0,Li,11.100000381469727,Cl,44.5,Ca,11.100000381469727,Bi,33.299999237060554,,,,,,,,,11.651016461690734
344,103.0,Mg,90.9000015258789,La,9.100000381469727,,,,,,,,,,,,,12.66674013894894
345,105.0,C,2.5999999046325684,Sr,2.5999999046325684,Sm,94.8000030517578,,,,,,,,,,,10.677865768367038
346,105.0,Sm,100.0,,,,,,,,,,,,,,,10.26385967377865
347,106.0,Mg,87.0,Ba,4.300000190734863,La,8.699999809265138,,,,,,,,,,,13.430858645493956
348,107.0,Li,66.69999694824219,Ti,16.600000381469727,La,16.700000762939453,,,,,,,,,,,13.25271977269335
349,108.0,Li,5.699999809265138,C,2.900000095367432,Ca,91.4000015258789,,,,,,,,,,,10.76070743078362
350,108.0,C,3.400000095367432,K,6.9000000953674325,Ca,89.69999694824219,,,,,,,,,,,9.278580513515516
351,108.0,C,3.2000000476837163,Na,6.5,Ca,90.3000030517578,,,,,,,,,,,10.418396831588847
352,108.0,Na,5.9000000953674325,Ca,94.0999984741211,,,,,,,,,,,,,10.641187946786903
353,108.0,Na,6.699999809265138,S,3.2999999523162837,Ca,90.0,,,,,,,,,,,10.561086685277454
354,108.0,S,2.900000095367432,K,5.699999809265138,Ca,91.4000015258789,,,,,,,,,,,9.350920597184109
355,108.0,Li,6.5,S,3.2000000476837163,Ca,90.3000030517578,,,,,,,,,,,12.493269594012858
356,110.0,Li,60.0,Mn,40.0,,,,,,,,,,,,,13.174270648379247
357,110.0,Li,60.0,Fe,40.0,,,,,,,,,,,,,13.223946898627206
358,110.0,Li,60.0,In,40.0,,,,,,,,,,,,,12.436862699091416
359,110.0,Li,60.0,Ni,40.0,,,,,,,,,,,,,12.584217291218259
360,110.0,Li,71.4000015258789,Ti,28.60000038146973,,,,,,,,,,,,,12.294807707677823
361,110.0,Li,71.4000015258789,Ge,28.60000038146973,,,,,,,,,,,,,12.095939666571576
362,110.0,Li,71.4000015258789,Sr,28.60000038146973,,,,,,,,,,,,,12.769515064391808
363,110.0,Li,71.4000015258789,Sn,28.60000038146973,,,,,,,,,,,,,12.530415858814179
364,111.0,Ba,89.30000305175781,La,10.699999809265137,,,,,,,,,,,,,12.964657092903396
365,112.0,Li,9.100000381469727,Ti,90.9000015258789,,,,,,,,,,,,,14.489298435216918
366,112.0,Na,9.100000381469727,Ti,90.9000015258789,,,,,,,,,,,,,15.842334579360521
367,112.0,K,9.100000381469727,Ti,90.9000015258789,,,,,,,,,,,,,13.782985006606081
368,112.0,Na,9.899999618530273,Ti,89.0999984741211,Mn,1.0,,,,,,,,,,,16.36519961892755
369,113.0,Li,4.5,Mg,95.5,,,,,,,,,,,,,11.302693228496997
370,113.0,Li,5.0,Mg,90.0,Zn,5.0,,,,,,,,,,,11.816011210566174
371,113.0,Li,5.0,Mg,90.0,Ni,5.0,,,,,,,,,,,11.581315023747262
372,113.0,Li,5.0,Mg,90.0,Sm,5.0,,,,,,,,,,,11.696917326150873
373,113.0,Li,5.0,Mg,90.0,Ce,5.0,,,,,,,,,,,12.260878973334439
374,114.0,Na,33.299999237060554,Mn,66.69999694824219,,,,,,,,,,,,,14.548193563569566
375,114.0,Na,33.200000762939446,Mn,66.30000305175781,Sn,0.5,,,,,,,,,,,14.834391961683925
376,114.0,Na,33.0,Si,1.100000023841858,Mn,65.90000152587889,,,,,,,,,,,15.357035791919282
377,114.0,Na,27.29999923706055,Si,18.200000762939453,Mn,54.5,,,,,,,,,,,15.35076151713995
378,115.0,Li,5.5,Mg,93.5,Al,1.0,,,,,,,,,,,10.86123433533828
379,115.0,Li,5.5,Mg,93.5999984741211,Y,0.8999999761581421,,,,,,,,,,,12.17603527551261
380,115.0,Li,5.5,Mg,93.8000030517578,La,0.699999988079071,,,,,,,,,,,12.022396118041934
381,115.0,Li,5.5,Mg,93.0,La,1.5,,,,,,,,,,,11.83537984276616
382,116.0,Al,91.5,Ag,8.5,,,,,,,,,,,,,8.383938179452388
383,116.0,Al,85.5,Cl,3.0,K,3.0,Ag,8.5,,,,,,,,,9.46007647587187
384,116.0,Li,3.0,Al,85.5,Cl,3.0,Ag,8.5,,,,,,,,,8.913276489756548
385,116.0,Al,82.5,Cl,6.0,Ag,8.5,Ba,3.0,,,,,,,,,10.357693021829553
386,116.0,Na,3.0,Al,85.5,Cl,3.0,Ag,8.5,,,,,,,,,9.770835758050602
387,116.0,Al,85.5,Cl,3.0,Ag,8.5,Cs,3.0,,,,,,,,,9.228223067692682
388,116.0,Al,82.0,Ag,18.0,,,,,,,,,,,,,8.446458070023263
389,116.0,C,41.0,Ag,18.0,Ba,41.0,,,,,,,,,,,9.668512484103095
390,116.0,Al,86.5,Ag,8.5,Pr,5.0,,,,,,,,,,,8.421192573183665
391,116.0,Al,90.5,Ag,8.5,Pr,1.0,,,,,,,,,,,8.065818648738384
392,116.0,Al,81.0,Ag,18.0,Bi,1.0,,,,,,,,,,,8.753625186055514
393,116.0,Al,81.0,Ag,18.0,Ba,1.0,,,,,,,,,,,8.779637795229489
394,116.0,Al,77.0,Ag,18.0,Ba,5.0,,,,,,,,,,,9.22439768175478
395,116.0,Al,79.0,K,3.0,Ag,18.0,,,,,,,,,,,9.569422694272083
396,116.0,Al,82.0,Cl,6.0,Ba,3.0,La,9.0,,,,,,,,,13.590433197500627
397,116.0,Al,73.0,Cl,6.0,Ba,3.0,La,18.0,,,,,,,,,13.820687491178933
398,116.0,Al,79.0,Cl,2.0,Ca,1.0,Ag,18.0,,,,,,,,,9.629333508655357
399,116.0,Al,82.0,Ag,18.0,,,,,,,,,,,,,7.734343745149203
400,116.0,Al,73.0,Cl,6.0,Ag,18.0,Ba,3.0,,,,,,,,,9.864065998588048
401,116.0,Cl,6.0,Ba,3.0,La,91.0,,,,,,,,,,,13.191086775768902
402,117.0,Al,91.0,Cl,6.0,Sr,3.0,,,,,,,,,,,10.984664509645727
403,117.0,C,28.0,Al,44.0,Ba,28.0,,,,,,,,,,,12.984485219953932
404,117.0,Al,91.0,Cl,6.0,Ba,3.0,,,,,,,,,,,10.568116894393313
405,117.0,Al,82.0,Br,12.0,Ba,6.0,,,,,,,,,,,11.123017948482596
406,117.0,Al,97.0,Ba,3.0,,,,,,,,,,,,,9.758116097731639
407,117.0,C,3.0,Ti,94.0,Ba,3.0,,,,,,,,,,,13.360520792663365
408,117.0,Cl,6.0,Ti,91.0,Ba,3.0,,,,,,,,,,,10.520833652519041
409,117.0,C,3.0,Zr,94.0,Ba,3.0,,,,,,,,,,,12.677603823023091
410,118.0,Y,16.700000762939453,Sn,50.0,Ba,33.299999237060554,,,,,,,,,,,8.77576377304015
411,118.0,Y,15.0,Sn,55.0,Ba,30.0,,,,,,,,,,,9.433070830188342
412,119.0,Y,17.200000762939453,Sn,46.599998474121094,Ba,36.20000076293945,,,,,,,,,,,8.447253399215372
413,120.0,K,28.60000038146973,Ti,42.79999923706055,La,28.60000038146973,,,,,,,,,,,10.700321827837824
414,120.0,K,28.60000038146973,Ti,42.79999923706055,Nd,28.60000038146973,,,,,,,,,,,10.54823870406503
415,120.0,K,28.60000038146973,Ti,42.79999923706055,Sm,28.60000038146973,,,,,,,,,,,10.507143460761586
416,120.0,K,28.60000038146973,Ti,42.79999923706055,Dy,28.60000038146973,,,,,,,,,,,9.927384730126423
417,120.0,K,28.60000038146973,Ti,42.79999923706055,Gd,28.60000038146973,,,,,,,,,,,10.155273835410199
418,120.0,Ti,42.79999923706055,Rb,28.60000038146973,La,28.60000038146973,,,,,,,,,,,9.649340204548034
419,120.0,Na,28.60000038146973,Ti,42.79999923706055,La,28.60000038146973,,,,,,,,,,,11.369426713713871
420,120.0,K,28.60000038146973,Ti,42.79999923706055,Pr,28.60000038146973,,,,,,,,,,,10.260084544009827
421,120.0,K,28.60000038146973,Ti,42.79999923706055,Ce,28.60000038146973,,,,,,,,,,,10.769866757183454
422,122.0,Sr,9.100000381469727,La,90.9000015258789,,,,,,,,,,,,,12.959768411561154
423,123.0,Si,80.0,Pb,20.0,,,,,,,,,,,,,7.666042306136663
424,124.0,Li,2.0,B,1.0,Mg,97.0,,,,,,,,,,,13.429285179571421
425,124.0,Li,2.0,Mg,97.0,Al,1.0,,,,,,,,,,,9.68957139506508
426,125.0,Li,15.399999618530273,Mg,38.5,Zn,46.099998474121094,,,,,,,,,,,14.8147365598272
427,125.0,Li,14.800000190734865,Mg,37.0,Al,3.7999999523162837,Zn,44.400001525878906,,,,,,,,,15.306846465283979
428,126.0,Li,6.199999809265138,Na,35.0,Si,20.0,Cl,6.199999809265138,Ti,32.59999847412109,,,,,,,12.147667293754628
429,126.0,Na,35.0,Si,20.0,Cl,6.199999809265138,Ti,32.59999847412109,Rb,6.199999809265138,,,,,,,11.708572098203968
430,126.0,Li,5.800000190734862,Cl,5.800000190734862,Ti,88.4000015258789,,,,,,,,,,,12.055005097895098
431,126.0,Li,5.800000190734862,Cl,5.800000190734862,Mn,88.4000015258789,,,,,,,,,,,11.627739771101327
432,126.0,Cl,28.0,Ti,44.0,Rb,28.0,,,,,,,,,,,9.933959880521563
433,127.0,Ba,50.0,Pb,30.0,Bi,20.0,,,,,,,,,,,10.6702037134607
434,128.0,Li,11.600000381469727,Mg,88.4000015258789,,,,,,,,,,,,,13.404138797980915
435,129.0,Sr,33.299999237060554,La,66.69999694824219,,,,,,,,,,,,,13.659920311364965
436,130.0,Ca,81.80000305175781,Y,18.200000762939453,,,,,,,,,,,,,10.340956846985362
437,131.0,Mg,96.0999984741211,Sm,3.900000095367432,,,,,,,,,,,,,9.949814084962727
438,132.0,Ca,20.0,Ba,80.0,,,,,,,,,,,,,10.626907257133988
439,133.0,Mg,90.0,Co,10.0,,,,,,,,,,,,,7.685799571048065
440,133.0,Mg,99.1999969482422,Mn,0.8000000119209291,,,,,,,,,,,,,8.962486943379316
441,133.0,Li,0.4000000059604645,Mg,99.5999984741211,,,,,,,,,,,,,11.208946722248614
442,134.0,Na,15.300000190734865,P,7.699999809265138,Mn,38.5,Gd,38.5,,,,,,,,,10.913391764670887
443,135.0,Zn,100.0,,,,,,,,,,,,,,,9.393906668986862
444,135.0,Li,47.9000015258789,Zn,52.099998474121094,,,,,,,,,,,,,12.87154172878924
445,136.0,Li,2.5999999046325684,Mg,96.4000015258789,Cd,1.0,,,,,,,,,,,10.748770369463651
446,137.0,Cl,50.0,Ba,50.0,,,,,,,,,,,,,12.104394367633708
447,139.0,C,50.0,Sr,50.0,,,,,,,,,,,,,8.614380130538375
448,139.0,C,50.0,Ba,50.0,,,,,,,,,,,,,7.626925931469394
449,139.0,La,100.0,,,,,,,,,,,,,,,10.447388987372301
450,140.0,Na,75.0,Ce,25.0,,,,,,,,,,,,,10.953879140087011
451,140.0,Na,15.0,Mg,85.0,,,,,,,,,,,,,11.922331507991798
452,140.0,Nd,100.0,,,,,,,,,,,,,,,9.529266913228703
453,140.0,Eu,100.0,,,,,,,,,,,,,,,9.844915741442568
454,140.0,Gd,100.0,,,,,,,,,,,,,,,9.799694026840399
455,140.0,Sr,50.0,Ce,45.0,Yb,5.0,,,,,,,,,,,14.015747341611622
456,141.0,Li,20.0,Mn,80.0,,,,,,,,,,,,,17.34142388080824
457,142.0,Mg,85.0,Ca,15.0,,,,,,,,,,,,,11.786788133268683
458,143.0,Mg,98.0999984741211,Ca,1.8999999761581419,,,,,,,,,,,,,13.190115416824371
459,143.0,Mg,98.9000015258789,Pb,1.100000023841858,,,,,,,,,,,,,9.629368328361327
460,144.0,K,3.2000000476837163,Ca,64.5,Ni,32.299999237060554,,,,,,,,,,,9.160974193457593
461,145.0,Li,47.599998474121094,Mg,28.60000038146973,Si,23.79999923706055,,,,,,,,,,,11.286715956282626
462,146.0,Li,10.0,Ca,90.0,,,,,,,,,,,,,11.805270659562632
463,146.0,Li,5.0,Ca,90.0,Ba,5.0,,,,,,,,,,,11.957039778568477
464,147.0,Na,75.5999984741211,La,24.399999618530273,,,,,,,,,,,,,11.973346806915474
465,148.0,Li,45.0,Mg,5.0,Sr,5.0,La,45.0,,,,,,,,,13.616433411599253
466,148.0,Li,45.0,Mg,5.0,Sr,5.0,Sm,45.0,,,,,,,,,12.285483532097814
467,148.0,Li,45.0,Mg,5.0,Sr,5.0,Nd,45.0,,,,,,,,,13.4883478136641
468,149.0,Li,70.0,Ti,30.0,,,,,,,,,,,,,12.508090860207687
469,149.0,Li,58.0,Ti,14.0,La,28.0,,,,,,,,,,,13.364361523345764
470,149.0,Li,61.099998474121094,Ti,19.399999618530273,Ni,19.5,,,,,,,,,,,12.691272095598528
471,151.0,K,27.79999923706055,Mn,72.19999694824219,,,,,,,,,,,,,14.868210607327525
472,152.0,Ba,33.0,La,67.0,,,,,,,,,,,,,12.410311176600159
473,152.0,Ba,33.0,La,67.0,,,,,,,,,,,,,12.973543145943953
474,152.0,Ba,10.0,La,90.0,,,,,,,,,,,,,12.068071724742184
475,152.0,Ca,92.0,Ba,8.0,,,,,,,,,,,,,10.936395156306354
476,153.0,Li,33.299999237060554,Mg,33.299999237060554,Nd,33.400001525878906,,,,,,,,,,,14.087917932526194
477,154.0,Li,50.0,Ti,25.0,Mn,25.0,,,,,,,,,,,18.37028949441856
478,155.0,Li,27.70000076293945,Mn,72.30000305175781,,,,,,,,,,,,,16.217961571584237
479,156.0,Ca,50.0,Zr,50.0,,,,,,,,,,,,,9.461144232711012
480,156.0,Sr,50.0,Zr,50.0,,,,,,,,,,,,,11.313876010028821
481,156.0,Zr,50.0,Ba,50.0,,,,,,,,,,,,,11.777153784482064
482,156.0,Mg,5.0,Ca,50.0,Zr,45.0,,,,,,,,,,,9.569549855064615
483,156.0,Mg,5.0,Sr,50.0,Zr,45.0,,,,,,,,,,,11.443296732301304
484,156.0,Mg,5.0,Zr,45.0,Ba,50.0,,,,,,,,,,,11.986184756969635
485,156.0,Na,25.0,Zr,50.0,La,25.0,,,,,,,,,,,12.161104035553043
486,156.0,K,25.0,Zr,50.0,La,25.0,,,,,,,,,,,12.217001683605892
487,156.0,Rb,25.0,Zr,50.0,La,25.0,,,,,,,,,,,11.336381288811564
488,158.0,Na,75.0,Mo,25.0,,,,,,,,,,,,,11.740548887987021
489,161.0,Na,16.700000762939453,Ca,83.30000305175781,,,,,,,,,,,,,11.061629846982237
490,162.0,Fe,100.0,,,,,,,,,,,,,,,6.1649885291551305
491,163.0,Na,16.100000381469727,Si,16.100000381469727,Mn,67.80000305175781,,,,,,,,,,,15.239125683672441
492,164.0,Mg,99.1999969482422,Sn,0.8000000119209291,,,,,,,,,,,,,8.449368176698984
493,164.0,Mg,97.4000015258789,Sn,2.5999999046325684,,,,,,,,,,,,,8.551556179040942
494,164.0,Sn,100.0,,,,,,,,,,,,,,,6.659793765338289
495,164.0,Mg,97.4000015258789,Pb,2.5999999046325684,,,,,,,,,,,,,9.606249133317686
496,164.0,Mg,92.6999969482422,Pb,7.300000190734862,,,,,,,,,,,,,10.00886304130028
497,165.0,Li,2.0,C,2.0,Mg,96.0,,,,,,,,,,,10.02606418271345
498,165.0,Li,5.0,C,5.0,Mg,90.0,,,,,,,,,,,11.45085223841904
499,166.0,Ti,50.0,Ni,50.0,,,,,,,,,,,,,7.366576037281515
500,166.0,Na,1.6000000238418581,Ti,49.20000076293945,Ni,49.20000076293945,,,,,,,,,,,9.341085612208898
501,166.0,Na,22.0,Ti,39.0,Ni,39.0,,,,,,,,,,,11.281296646289011
502,166.0,Li,9.0,Ti,50.0,Ni,41.0,,,,,,,,,,,11.654588243603992
503,167.0,C,4.0,Na,4.0,La,92.0,,,,,,,,,,,12.032647846558282
504,167.0,C,4.0,Na,4.0,Ce,92.0,,,,,,,,,,,9.647155474168114
505,167.0,C,4.0,Na,4.0,Yb,92.0,,,,,,,,,,,11.78240320536348
506,167.0,C,33.299999237060554,Na,66.69999694824219,,,,,,,,,,,,,9.589249293903276
507,167.0,Ce,100.0,,,,,,,,,,,,,,,6.7611475715286975
508,167.0,Yb,100.0,,,,,,,,,,,,,,,11.549495775619361
509,168.0,Na,30.70000076293945,Zr,69.30000305175781,,,,,,,,,,,,,10.50908421991929
510,168.0,K,22.5,Zr,77.5,,,,,,,,,,,,,8.780648275801642
511,168.0,Li,47.599998474121094,Zr,52.4000015258789,,,,,,,,,,,,,11.03311961290674
512,168.0,Zr,100.0,,,,,,,,,,,,,,,8.395701954783345
513,169.0,Na,20.5,Si,68.5,Mn,11.0,,,,,,,,,,,15.260278736202356
514,172.0,Li,12.5,Ti,87.5,,,,,,,,,,,,,14.517470037956
515,173.0,Al,98.6999969482422,Ca,1.2999999523162842,,,,,,,,,,,,,9.76539969082387
516,173.0,Al,98.6999969482422,Sr,1.2999999523162842,,,,,,,,,,,,,10.625359386283144
517,173.0,Al,98.6999969482422,Ba,1.2999999523162842,,,,,,,,,,,,,9.893571660561747
518,174.0,Na,45.79999923706055,Cu,13.899999618530273,Ag,40.29999923706055,,,,,,,,,,,12.574345937364273
519,174.0,Na,53.20000076293945,Ag,46.79999923706055,,,,,,,,,,,,,12.444184833438072
520,174.0,Mn,68.80000305175781,Ag,31.20000076293945,,,,,,,,,,,,,11.529217606340778
521,175.0,Li,33.299999237060554,Mg,33.400001525878906,Ni,33.299999237060554,,,,,,,,,,,13.01364740659417
522,175.0,Na,33.299999237060554,Mg,33.400001525878906,La,33.299999237060554,,,,,,,,,,,12.680058841469245
523,176.0,Al,97.3000030517578,Co,0.6000000238418579,Sr,2.0999999046325684,,,,,,,,,,,10.59351095723704
524,177.0,Na,5.0,Si,72.0,Cl,5.0,Mn,18.0,,,,,,,,,10.95681269449857
525,177.0,Na,5.0,Si,72.0,Cl,5.0,Mn,18.0,,,,,,,,,14.538185955988228
526,177.0,Na,5.0,Si,69.0,Cl,5.0,Mn,18.0,Fe,3.0,,,,,,,12.166247375131574
527,178.0,Al,94.0,Cl,4.0,Sr,2.0,,,,,,,,,,,5.711984752305149
528,178.0,Al,87.0,Cl,8.0,Co,1.0,Sr,4.0,,,,,,,,,7.350206809477611
529,178.0,Al,87.0,Cl,8.0,Ni,1.0,Sr,4.0,,,,,,,,,7.024754326122486
530,178.0,Al,87.0,Cl,8.0,Fe,1.0,Sr,4.0,,,,,,,,,6.616567659239724
531,178.0,Al,87.0,Cl,8.0,Cu,1.0,Sr,4.0,,,,,,,,,6.7132255220922294
532,178.0,Al,99.0,Co,1.0,,,,,,,,,,,,,3.927561064395264
533,178.0,Al,87.0,Cl,8.0,Co,1.0,Ba,4.0,,,,,,,,,6.810294519671914
534,178.0,C,8.0,Al,87.0,Co,1.0,Sr,4.0,,,,,,,,,6.227993760332011
535,178.0,Al,75.0,Cl,16.0,Sr,8.0,Rh,1.0,,,,,,,,,9.65231100354621
536,178.0,Al,75.0,Cl,16.0,Sr,8.0,Pd,1.0,,,,,,,,,9.206697882958851
537,178.0,C,8.0,Al,87.0,Co,1.0,Sr,4.0,,,,,,,,,11.001646648351407
538,178.0,Al,94.0,Cl,4.0,Sr,2.0,,,,,,,,,,,10.36902894867415
539,178.0,Al,87.0,Cl,8.0,Co,1.0,Sr,4.0,,,,,,,,,10.997032188699832
540,179.0,P,50.0,Fe,50.0,,,,,,,,,,,,,6.078402450395044
541,180.0,Li,19.799999237060547,Mg,79.19999694824219,Dy,1.0,,,,,,,,,,,12.901479588031513
542,182.0,Li,17.600000381469727,Pr,82.4000015258789,,,,,,,,,,,,,11.935562211796706
543,183.0,Na,3.400000095367432,Si,81.5999984741211,Mn,15.0,,,,,,,,,,,10.848615502057715
544,183.0,Na,1.7000000476837158,Si,88.30000305175781,Pb,10.0,,,,,,,,,,,8.60736225655121
545,183.0,Na,1.7000000476837158,Si,86.5999984741211,Cl,1.7000000476837158,Pb,10.0,,,,,,,,,8.889769038201436
546,184.0,Ca,30.0,Ce,70.0,,,,,,,,,,,,,8.678706687406173
547,185.0,Ba,15.0,La,85.0,,,,,,,,,,,,,12.944054783984978
548,186.0,Sm,100.0,,,,,,,,,,,,,,,14.08724348633089
549,187.0,Li,75.0,P,25.0,,,,,,,,,,,,,11.539568951221717
550,188.0,Na,18.600000381469727,Mg,26.70000076293945,Al,53.4000015258789,Ca,1.2999999523162842,,,,,,,,,9.702136994030992
551,189.0,Cl,29.399999618530273,Sm,70.5999984741211,,,,,,,,,,,,,10.92291225643292
552,190.0,Y,20.0,La,80.0,,,,,,,,,,,,,11.449357374791566
553,191.0,Li,23.70000076293945,Ca,72.19999694824219,Pb,4.099999904632568,,,,,,,,,,,12.525578318637338
554,192.0,Sr,9.100000381469727,Y,90.9000015258789,,,,,,,,,,,,,10.284268508217659
555,192.0,Ca,33.299999237060554,Y,66.69999694824219,,,,,,,,,,,,,9.629439466187037
556,192.0,Sr,33.299999237060554,Y,66.69999694824219,,,,,,,,,,,,,10.961117542352929
557,192.0,Y,66.69999694824219,Ba,33.299999237060554,,,,,,,,,,,,,12.239155056149638
558,192.0,Sr,33.299999237060554,La,66.69999694824219,,,,,,,,,,,,,13.645097537706127
559,192.0,Sr,33.299999237060554,Y,66.69999694824219,,,,,,,,,,,,,11.136006417294507
560,192.0,Y,66.69999694824219,Ba,33.299999237060554,,,,,,,,,,,,,11.002701098529858
561,193.0,Li,9.100000381469727,Mg,90.9000015258789,,,,,,,,,,,,,11.780869746593032
562,194.0,Na,66.69999694824219,Pr,33.299999237060554,,,,,,,,,,,,,13.088232784345575
563,195.0,Li,32.900001525878906,Mg,65.80000305175781,Co,1.2999999523162842,,,,,,,,,,,13.288499435998634
564,198.0,Li,18.799999237060547,Mg,62.4000015258789,Cl,18.799999237060547,,,,,,,,,,,12.03756945343487
565,200.0,Li,27.0,Mg,72.9000015258789,Zn,0.10000000149011612,,,,,,,,,,,13.03905214238282
566,201.0,Na,40.0,P,20.0,Sm,40.0,,,,,,,,,,,11.855984209425982
567,202.0,Mg,83.30000305175781,Bi,16.700000762939453,,,,,,,,,,,,,10.494450586300818
568,203.0,Li,28.60000038146973,Mg,71.4000015258789,,,,,,,,,,,,,13.306249831186904
569,204.0,Al,100.0,,,,,,,,,,,,,,,4.130134469660057
570,205.0,Mg,12.5,Ti,37.5,Ba,50.0,,,,,,,,,,,12.379273515069753
571,206.0,K,28.60000038146973,Ti,42.79999923706055,La,28.60000038146973,,,,,,,,,,,10.86518137341883
572,207.0,Ti,98.0,Ba,2.0,,,,,,,,,,,,,12.993646895764186
573,207.0,Al,66.69999694824219,Sr,33.299999237060554,,,,,,,,,,,,,13.526923986443899
574,207.0,Al,16.700000762939453,Co,8.300000190734862,Sr,75.0,,,,,,,,,,,11.902761955910078
