,0,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Dy:26.1 Bi:18.0 Zn:14.3 Mn:13.4 Ti:12.9 Li:7.5 Yb:6.6 Ce:1.3,Mech. Mixing,1048.0,0.6,1.0,0.6,0.6975298130470144
Ti:28.5 Y:14.5 Ca:14.2 Ce:11.0 Lu:9.6 Yb:9.3 Al:7.1 K:5.9,Ceramic method,1073.15,0.6811322643491718,1.0,0.36,0.6822428165444281
Sr:20.3 Na:18.3 Sc:14.8 Mn:12.1 Ni:11.1 Yb:10.1 Zr:7.1 Cu:6.3,Physical mixing,1069.0,1.2114325529090448,2.239213116272597,0.16334589305954916,0.6574405415329163
La:72.2 Cu:13.2 Br:6.7 Yb:5.2 Mg:2.4 Mn:0.2 Li:0.2 Ir:0.0,Precipitation,973.15,1.8386216191297304,1.0,0.9766567624468632,0.6316461851826067
Ho:27.4 Sr:16.2 La:15.6 Yb:10.2 Cu:9.2 Eu:9.2 Dy:6.6 Nb:5.7,Impregnation,873.0,0.8000000119209291,1.0130000114440918,0.9092980046834582,0.6284296193679444
Zr:35.1 W:14.2 Cs:13.2 Yb:11.9 Lu:9.2 Eu:9.0 Sc:5.8 Ba:1.8,Pyrolysis,923.15,2.0,1.0,1.614556258322018,0.6254209882504906
Ni:21.2 Y:20.0 Si:14.8 Cu:11.3 Ca:9.6 Yb:8.4 Sm:8.0 Sc:6.7,Citrate method,923.15,2.0,2.911834346105105,0.8461876324703289,0.6000245855820134
Ni:42.9 Sn:37.5 Yb:4.9 Si:4.6 Na:4.2 La:3.3 Li:1.6 P:1.1,Slurry,948.15,0.6593589857414921,2.9492129157800155,0.030816640986132512,0.5988820924547016
Na:47.8 Dy:21.1 Ba:14.1 Tb:8.8 Zn:5.1 Yb:3.1,Physical mixing,1023.0,0.5817695058298507,1.0130000114440918,0.158,0.5873901900960931
Si:40.8 Na:16.7 S:12.0 Lu:9.0 Yb:7.5 Al:6.7 Er:4.7 Ga:2.6,Slurry,973.15,0.2203247696464952,1.0,0.07200000000000001,0.5755512121635489
La:86.7 Na:13.3,Precipitation,1200.9733385063682,6.0,2.6089499273591183,0.1,0.5712930478703641
Ti:23.8 Pr:17.2 Ba:17.0 Eu:11.4 Ta:11.2 Ca:10.9 Mg:4.6 Zr:3.8,Ceramic method,1023.15,2.0,1.0,0.115325,0.5518637664441355
Mg:80.0 Li:20.0,n.a.,1073.0,3.0,1.0130000114440918,5.228155648550043,0.5483056243064919
La:30.8 Ni:17.8 Sb:16.3 Ce:10.3 Yb:8.4 F:7.2 Tb:7.0 Ru:2.2,Impregnation,923.0,1.3189260189099987,1.0,0.04,0.5447847948815783
Al:50.5 La:20.0 Yb:12.2 W:5.9 Cl:4.6 Ho:3.5 Ba:2.3 Tb:1.1,SGS,923.0,2.174999952316284,1.0130000114440918,4.8,0.5286239307696763
Si:37.6 Lu:21.4 F:14.9 W:11.5 Yb:5.4 Ni:4.0 K:2.9 Tl:2.4,Ceramic method,1073.0,1.5542135864277078,1.0130000114440918,0.14,0.4833048934478292
Mg:40.8 Yb:30.3 Sr:16.7 Na:6.9 Tb:3.1 Bi:1.2 La:1.0,Electrospining,973.15,2.39696039445524,1.0,1.475409836065574,0.4697637398209953
Si:28.1 Sr:24.9 Ce:16.8 Be:10.5 Ni:9.7 Br:4.5 N:4.0 S:1.4,Ceramic method,1043.15,0.4027963076966631,1.2,0.1338,0.4368246257345971
Si:42.1 Sr:24.5 Dy:13.5 Yb:11.0 La:5.4 Ge:1.5 Na:1.2 Mn:1.0,Slurry,1041.105,2.63714790072877,1.2,0.95,0.43005290653631895
La:25.5 Cr:15.7 Sm:14.1 Co:13.7 Te:9.6 Ce:7.6 Be:6.9 Yb:6.9,n.a.,1173.0,1.5243315246161446,3.8962448151531617,0.0257,0.4271188314065506
Yb:23.8 Mg:22.0 Zr:14.9 Tm:14.4 Be:10.3 Sr:8.1 Li:4.9 S:1.6,Physical mixing,1073.0,2.10686993598938,1.0130000114440918,0.8672032261549896,0.3808675279455189
La:39.1 Pb:20.5 Be:15.5 Zr:15.3 Yb:6.4 Ga:3.2,SGS,823.15,1.7870092837143132,1.0,0.010273972602739724,0.3542515952211505
Pb:23.7 La:19.0 Mn:18.6 K:13.3 Fe:8.9 Pr:6.8 Yb:5.1 Dy:4.4,Hydrothermal treatment,1296.4880096362974,1.9950740337371824,4.1724568715815655,0.4,0.3463562978390127
Si:94.6 Mn:2.2 K:2.1 W:1.1,Solid-phase technique,1155.15,2.4,1.0,2.270760694727377,0.3427438621334835
Zr:50.9 Mg:19.5 Yb:11.2 Br:7.4 Bi:4.8 Ba:2.6 C:2.6 Te:1.1,Impregnation,723.15,1.681581336031849,2.6871784536717986,0.03563,0.33524326917460034
F:23.9 Y:15.7 Al:13.9 Ce:11.9 Ba:11.9 Nb:11.5 B:6.0 Yb:5.1,Mech. Mixing,1073.0,0.8000000119209291,1.0130000114440918,1.6868068863138022,0.3298550435910872
Si:70.3 Ni:15.9 Mn:8.9 Yb:4.2 Ge:0.7 Na:0.0 W:0.0,Slurry,973.15,1.7168949924617856,1.0,0.07200000000000001,0.3282966148393085
Si:54.4 Cs:23.3 Lu:5.9 Zn:5.4 Yb:4.0 P:3.2 Na:2.5 S:1.3,Ceramic method,1048.15,2.5373653785285457,1.0,0.26786,0.3140042388136919
Sr:30.4 Ti:27.4 Ba:12.5 Al:12.4 Fe:10.7 Ga:2.4 Si:2.2 Pt:1.9,Ceramic method,1123.15,1.067992630926765,1.0,0.024,0.30442956994716
Si:35.2 Tb:20.4 Tm:16.8 Ho:13.0 Yb:11.9 Na:1.4 Ti:0.8 Mn:0.6,Impregnation,1003.15,3.0,0.3,0.2279924002533249,0.301472323200108
Bi:53.3 Si:28.9 Y:10.7 Sm:7.1,Therm.decomp.,1223.0,1.9940119981765747,1.0130000114440918,0.4,0.27925766573485256
Si:93.6 Mn:2.2 Na:2.1 La:1.1 W:1.0,Mech. Mixing,973.0,2.003002882003784,1.0130000114440918,0.22,0.27349403126569083
Si:20.1 Tm:17.4 Dy:16.2 Bi:16.0 Nb:13.0 Pb:8.1 K:6.4 Fe:2.9,Ceramic method,1230.1332252552922,1.8,2.612731292167134,0.01861268491702465,0.2708586856633117
Si:30.5 Ba:22.2 Sn:15.4 Bi:14.0 In:6.7 Dy:4.5 Ge:4.0 Cu:2.6,Ceramic method,1194.15,1.9,1.0,1.0395839753027014,0.2704901667061124
Si:58.1 Fe:19.9 Ho:13.9 Nb:4.2 Mn:1.9 Na:1.3 W:0.6,Impregnation,1123.0,4.0,2.0,0.11007066274490808,0.2593695589773644
Si:28.0 Sm:18.1 Nd:16.6 Mg:14.0 Gd:10.2 Cu:5.2 Pb:5.2 Re:2.7,Ceramic method,1093.15,1.9718718061478755,1.5654205002738293,0.044308,0.2591819635563891
La:43.2 Zr:43.2 Yb:7.4 Lu:3.4 Cd:2.7,Slurry,1151.2444807327042,1.95488703250885,1.0130000114440918,0.8,0.24988044856769945
