,0,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Sm:25.1 Zr:25.1 Ti:14.8 F:9.7 Yb:8.9 Fe:8.1 Pr:4.2 N:4.1,SPS,998.15,0.7606816897154649,1.0,0.03115264797507788,0.304482864645117
Sr:33.4 Yb:26.4 P:14.3 W:8.1 Mn:5.4 Rb:5.3 Cr:5.0 V:2.1,Physical mixing,1023.0,1.9879519939422607,1.0130000114440918,3.616703817155312,0.30229487518774434
Si:93.6 Mn:2.2 Na:2.1 La:1.1 W:1.0,Physical mixing,973.0,2.003002882003784,1.0130000114440918,0.22,0.2986156410285996
Ti:32.2 La:21.5 Na:21.5 Yb:16.6 Te:8.2,Therm.decomp.,1023.0,1.9333330392837524,1.0130000114440918,0.8,0.2896559820324076
Al:62.8 Yb:22.2 Be:12.7 Sr:2.3,Physical mixing,1023.0,2.0,1.0130000114440918,3.0,0.2887461247445555
Si:59.1 Ge:17.3 Yb:17.0 Cl:3.3 Mn:1.4 Li:1.3 W:0.6,Solid-phase technique,1019.15,2.0,1.0,0.01549754880436411,0.281920230535474
Zr:29.1 Na:17.4 Sm:17.0 Pb:9.3 Yb:9.2 Mg:6.6 Cl:6.3 Mo:5.0,Slurry,1023.0,1.9879519939422607,1.0130000114440918,1.2,0.2761462618079353
Zn:45.6 Ca:35.1 Eu:19.2,Ceramic method,1073.0,2.0,1.0,0.8,0.27387827527531794
Ni:29.8 Li:29.8 Yb:14.3 Gd:12.1 Zr:6.8 Ba:4.1 V:3.1,Pyrolysis,1023.0,1.9803919792175293,1.0130000114440918,0.4491849885140621,0.26665187204996443
Li:49.2 Mn:32.8 Pr:17.9,Ceramic method,1053.0,1.9940119981765747,1.0130000114440918,0.39,0.2629121093970854
Sr:51.3 P:27.0 Na:21.7,Ceramic method,1023.0,1.9879519939422607,1.0130000114440918,0.6,0.2605637160487804
Yb:18.1 W:17.6 Y:17.4 F:11.6 Fe:9.2 Cd:9.2 Pr:8.6 Zn:8.5,Ceramic method,1023.0,2.477612018585205,1.0130000114440918,5.330169104640978,0.2586407317209544
