,Prom,Prep,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,mean,sigma,CI_low,CI_high
Al:34.9 Na:16.9 Zn:16.0 Cl:8.4 Sr:8.1 Nb:5.4 Yb:5.3 Mg:5.0,,Ceramic method,1023.0,1.2872659184838746,1.0130000114440918,0.6,0.6231506375043601,False,69,21.45631008268218,21.45631008268218,10.006679871675923,1.8432175341973718,41.06940263116699
Ba:33.0 Sn:33.0 Ti:33.0 I:0.7 Pt:0.2,,Ceramic method,1048.15,2.0,1.0,0.6,0.6192740836301285,False,25,23.922218349055562,23.922218349055562,8.701168705608566,6.867927686062771,40.97650901204835
Ti:39.3 Eu:16.6 Yb:14.8 P:10.2 K:6.4 Fe:5.1 Li:4.5 Tm:3.1,,Microemulsion,1023.15,1.8421052631578947,1.0,0.3877119753450055,0.6176891806960634,False,63,18.82397740112253,18.82397740112253,11.232071963860124,-3.190883648043311,40.83883845028837
Ce:28.2 La:17.1 Y:17.1 Si:16.9 Mg:7.1 Yb:6.0 Ni:5.8 Na:1.7,,Citrate method,1023.0,1.9803919792175293,1.0130000114440918,0.5,0.5750840937960662,False,76,20.13539813605788,20.135398136057876,10.357961825102306,-0.1662070411426413,40.437003313258394
Cs:39.8 Mg:19.5 W:9.9 Cl:7.3 Nd:6.7 La:6.1 Yb:5.7 B:5.1,,Ceramic method,1023.0,1.0436756156306422,1.0,0.06919587195911013,0.5457101919315512,False,4,20.68191343941856,20.681913439418565,10.477937818072194,0.14515531599706577,41.218671562840065
Cl:32.0 Nd:24.7 Yb:21.2 Ca:16.0 Cs:4.6 Re:1.5,,Ceramic method,1023.0,1.9411760568618768,1.0130000114440918,0.72,0.5449483170778591,False,98,21.027283577784342,21.027283577784342,10.288451146191342,0.861919331249311,41.19264782431937
Na:31.2 Yb:16.1 Cl:13.7 Si:11.4 Er:9.0 Co:6.8 Sb:5.9 Ni:5.9,,Electrospining,1023.0,0.7692084153761354,1.0130000114440918,0.083,0.5269974364028989,False,15,19.529327714900443,19.52932771490044,10.430433362063663,-0.9143216747443397,39.97297710454522
Li:48.5 Mn:24.2 Ti:24.2 Tl:3.0,Promotor_S,n.a.,1073.0,2.4970059394836426,1.0130000114440918,3.6,0.5226150857194845,False,61,22.178122280642977,22.17812228064298,9.245555252094881,4.056833986537015,40.29941057474895
La:48.2 Li:40.3 Cl:11.5,,n.a.,977.0,4.2142858505249015,1.0130000114440918,8.0,0.5107278094613596,False,77,22.495621654124943,22.495621654124943,9.545035810266343,3.78735146600291,41.203891842246975
Mo:41.0 Mn:41.0 Yb:17.2 K:0.8,,SGS,973.0,2.0,1.0130000114440918,7.2,0.5106408856066187,False,21,16.014223160340215,16.014223160340215,13.581837000124233,-10.606177359903281,42.634623680583715
Si:47.6 Ca:37.1 Er:5.7 K:2.9 Yb:2.6 Pb:2.3 Sb:1.7,,Physical mixing,1023.0,1.1332672445596497,1.0130000114440918,1.8,0.4968933776346982,False,11,20.49147863436011,20.49147863436011,10.502681312776451,-0.09377673868173275,41.07673400740195
Zn:42.4 Ca:40.9 Fe:16.7,,Ceramic method,1048.15,1.4161163528715526,1.0,0.8,0.4734175658102069,False,19,19.161849513737703,19.1618495137377,10.886513214726875,-2.1757163871269753,40.499415414602375
Nd:29.8 Yb:15.9 Si:14.5 C:14.5 Sc:14.3 Sr:5.3 Tb:3.8 S:2.0,,Microemulsion,998.15,1.89060088059574,1.0,4.8618227608598925,0.4716614501867478,False,60,16.495388133676332,16.495388133676336,11.416424909319142,-5.880804688589183,38.87158095594185
Ti:50.3 Yb:35.8 C:12.5 Ba:1.0 Pt:0.3,Promotor_Cl,Ceramic method,1023.0,2.0,1.0130000114440918,1.3,0.4685356035893791,False,31,21.36037955394882,21.360379553948817,9.739840838777281,2.270291509945345,40.45046759795229
Mg:50.3 Yb:37.0 In:10.8 Li:1.4 Zn:0.5,,Pyrolysis,1053.0,2.2837839126586914,1.0130000114440918,0.24,0.4510099835281656,False,59,18.96268985306964,18.96268985306964,11.512764338367182,-3.6023282501300358,41.52770795626932
Ni:32.7 Zn:20.0 Yb:17.7 Cl:8.2 Li:8.2 Al:6.9 Ag:6.4,,Slurry,1023.0,1.9615379571914675,1.0130000114440918,0.6,0.4371851219024372,False,8,19.007308731903343,19.007308731903343,10.76572719781265,-2.093516575809449,40.10813403961613
Bi:25.4 Pr:21.1 Ge:12.7 C:10.3 Yb:10.1 Sc:8.0 Lu:6.6 Pb:5.6,,Ceramic method,1053.0,2.0,1.0130000114440918,1.8,0.4302365919654987,False,51,19.53432764051944,19.534327640519443,10.095622343121246,-0.25309215199819945,39.32174743303709
Al:28.4 Zn:27.5 Sb:21.0 Na:9.8 Cl:9.7 Yb:2.1 V:1.5,,Physical mixing,1023.0,2.0,1.0130000114440918,0.6,0.41321620863444775,False,56,19.1209512473785,19.1209512473785,10.58165120620446,-1.6190851167822409,39.860987611539244
Nb:44.1 K:44.1 Dy:11.8,,Ceramic method,1023.0,1.9803919792175293,1.0130000114440918,0.5,0.4097631802788124,False,52,20.25355228877618,20.25355228877618,9.91304859000939,0.8239770523577761,39.683127525194585
Fe:26.3 Bi:17.8 Gd:13.1 Ti:12.7 Yb:12.2 Rb:6.8 F:6.4 N:4.6,,Ceramic method,1048.0,0.6,1.0,0.6,0.4071000543738417,False,36,18.45178046282273,18.45178046282273,11.253092724069413,-3.604281276353319,40.50784220199878
Sn:44.7 Ti:44.7 Lu:10.7,,Ceramic method,1073.15,2.0,1.0,0.12880143112701253,0.3958831435464976,False,24,17.492625515526058,17.49262551552606,11.521148559201023,-5.088825660507943,40.074076691560066
Ce:28.8 Ti:27.6 Ca:13.8 Yb:9.9 Eu:8.3 Lu:6.3 Fe:3.9 Na:1.4,,Pyrolysis,1041.8037639853985,2.0303030014038086,1.0130000114440918,0.3,0.3944944355720206,False,0,18.57412562169533,18.574125621695327,10.55680304019069,-2.117208337078427,39.265459580469084
Gd:49.0 K:17.2 Br:14.0 Ba:7.0 Re:5.1 Zn:4.6 Nd:3.0 Ir:0.0,,Ceramic method,1023.0,1.2387910909292446,1.0130000114440918,0.6,0.3859209599367697,False,92,19.649014262313962,19.649014262313962,9.738807969564366,0.5609506419678034,38.73707788266012
Si:29.4 Tm:18.9 Yb:15.0 K:13.4 W:11.9 Br:5.6 Co:3.0 Sm:2.9,,Physical mixing,1021.7564659794867,2.5,1.0,0.26865671641791045,0.3676797301995689,False,90,18.58859648024253,18.588596480242526,10.551392237983004,-2.09213230620416,39.26932526668921
Si:27.4 W:22.1 Nb:19.0 Yb:16.2 Eu:7.4 Zn:3.8 Tl:2.2 Ce:1.8,,Citric acid method,1049.045327341666,2.0,1.0,0.5078281244042883,0.3573403112000819,False,33,20.352199845756484,20.352199845756488,9.876580113945632,0.9941028224230486,39.71029686908993
Mn:37.1 La:29.7 Er:8.5 Na:7.4 Ba:6.8 Yb:4.3 Fe:3.8 Ru:2.5,,n.a.,1013.0,1.7868406514421606,1.0,0.30816640986132515,0.3529590275346568,False,95,16.79009123022876,16.79009123022876,11.635250464619864,-6.014999680426172,39.59518214088369
Mg:47.6 Ce:20.9 Yb:20.7 Li:9.4 Ga:1.4,,Impregnation,1038.15,2.0,1.0,0.009722222222222222,0.3417752399760905,False,13,18.42135299927624,18.42135299927624,10.176925723532202,-1.525421418846875,38.36812741739936
Ca:31.3 Cl:15.9 Pb:14.2 K:9.8 Sn:9.3 Yb:7.9 Si:5.9 Sr:5.7,,Mech. Mixing,1053.15,2.0,1.0,0.027152515680577808,0.3399874560142291,False,17,20.456209048245768,20.456209048245768,9.524689736501346,1.7878171647031316,39.12460093178841
La:93.5 In:6.5,,n.a.,1142.4831835172445,5.271897688484641,1.415351003930374,0.05,0.3399032553235286,False,58,18.664437242926343,18.664437242926343,10.292267827478302,-1.5084076989311264,38.83728218478382
Cl:28.8 Ca:20.5 Br:20.5 Cr:14.6 Yb:7.0 Cu:4.2 V:2.7 P:1.6,,Mech. Mixing,1023.0,1.9879519939422607,1.0130000114440918,0.6,0.3288050927610666,False,29,19.33242470159558,19.332424701595578,9.682414395701024,0.35489248602157275,38.309956917169586
Si:48.4 Yb:27.7 Ge:6.3 K:5.7 Na:5.2 P:2.6 Tl:2.1 Mn:2.0,,Physical mixing,1044.9458830894014,2.4970059394836426,2.825556494066926,0.109,0.3249275483715379,False,3,18.532856458218646,18.532856458218642,11.098189406486462,-3.219594778494823,40.28530769493211
Ti:45.0 F:18.5 Mg:15.0 Bi:6.4 Cl:6.1 Yb:5.8 Mn:1.6 Na:1.5,,Physical mixing,998.0,2.0,1.0,0.18,0.3210860008136047,False,45,16.60676952384752,16.606769523847525,10.876430752980776,-4.711034751994795,37.924573799689846
La:68.3 Yb:16.1 Tb:14.7 Ba:0.8,,SPS,1023.0,2.609375,1.0130000114440918,0.6,0.30113625822634016,False,88,18.37895813264914,18.37895813264914,10.25124038146047,-1.7134730150133812,38.471389280311655
Bi:56.0 Ti:40.0 Ce:4.0,,Ceramic method,1048.0,0.6,1.0,0.6,0.2960166366554735,False,66,21.4875670510594,21.487567051059397,8.2039404281214,5.407843811941451,37.56729029017734
Zr:34.6 Na:20.8 Fe:20.0 Si:10.3 Nd:8.7 Sb:2.9 Ga:2.7,,Ceramic method,1023.0,1.9879519939422607,1.0130000114440918,1.2,0.29164668079258016,False,41,17.152900074148874,17.152900074148874,10.461382909396345,-3.351410428267961,37.65721057656571
Ta:29.9 Li:29.9 Tm:18.1 Yb:16.1 Cl:3.0 Na:3.0,,Therm.decomp.,1023.0,1.9803919792175293,1.0130000114440918,0.5,0.2896356487280274,False,6,20.037796450330823,20.03779645033082,9.855384551573978,0.721242729245823,39.35435017141582
Na:28.2 Cl:22.4 La:15.9 S:12.6 Cu:9.0 Yb:7.7 Mn:2.7 W:1.5,,Physical mixing,902.921131492968,0.3333333333333333,1.0,0.17823139560292056,0.2840959982067326,False,86,17.04294212245613,17.042942122456132,11.297517211977727,-5.100191613020211,39.18607585793248
