,0
Li,136
Be,145
B,353
C,1232
N,18
F,49
Na,123
Mg,167
Al,219
Si,1304
P,25
S,76
Cl,76
K,65
Ca,555
Sc,2197
Ti,98
V,181
Cr,156
Mn,100
Fe,47
Co,1127
Ni,106
Cu,100
Zn,19
Ga,8
Ge,3399
As,1360
Se,19
Br,64
Rb,45
Sr,96
Y,152
Zr,130
Nb,246
Mo,850
Ru,212
Rh,59
Pd,63
Ag,13
Cd,50
In,54
Sn,22
Sb,30
Te,33
I,129
Cs,15
Ba,94
La,78
Ce,72
Pr,15
Nd,24
Pm,106
Sm,21
Eu,52
Gd,27
Tb,43
Dy,25
Ho,28
Er,48
Tm,42
Yb,8
Lu,22
Hf,42
Ta,67
W,1254
Re,463
Os,1184
Ir,102
Pt,49
Au,63
Tl,194
Pb,55
Bi,48
